ts,equity
2026-01-05T05:55:00+00:00,8000000.00
2026-01-05T06:00:00+00:00,8000000.00
2026-01-05T06:05:00+00:00,8000000.00
2026-01-05T06:10:00+00:00,8000000.00
2026-01-05T06:15:00+00:00,8000000.00
2026-01-05T06:20:00+00:00,8000000.00
2026-01-05T06:25:00+00:00,8000000.00
2026-01-05T06:30:00+00:00,8000000.00
2026-01-05T06:35:00+00:00,8000000.00
2026-01-05T06:40:00+00:00,8000000.00
2026-01-05T06:45:00+00:00,8000000.00
2026-01-05T06:50:00+00:00,8000000.00
2026-01-05T06:55:00+00:00,8000000.00
2026-01-05T07:00:00+00:00,8000000.00
2026-01-05T07:05:00+00:00,8000000.00
2026-01-05T07:10:00+00:00,8000000.00
2026-01-05T07:15:00+00:00,8000000.00
2026-01-05T07:20:00+00:00,8000000.00
2026-01-05T07:25:00+00:00,8000000.00
2026-01-05T07:30:00+00:00,8000000.00
2026-01-05T07:35:00+00:00,8000000.00
2026-01-05T07:40:00+00:00,8000000.00
2026-01-05T07:45:00+00:00,8000000.00
2026-01-05T07:50:00+00:00,8000000.00
2026-01-05T07:55:00+00:00,8000000.00
2026-01-05T08:00:00+00:00,8000000.00
2026-01-05T08:05:00+00:00,8000000.00
2026-01-05T08:10:00+00:00,8000000.00
2026-01-05T08:15:00+00:00,7999999.89
2026-01-05T08:20:00+00:00,7999999.86
2026-01-05T08:25:00+00:00,8000000.02
2026-01-05T08:30:00+00:00,8000000.09
2026-01-05T08:35:00+00:00,8000000.06
2026-01-05T08:40:00+00:00,7999999.91
2026-01-05T08:45:00+00:00,7999999.94
2026-01-05T08:50:00+00:00,7999999.86
2026-01-05T08:55:00+00:00,7999999.98
2026-01-05T09:00:00+00:00,7999999.96
2026-01-05T09:05:00+00:00,7999999.94
2026-01-05T09:10:00+00:00,7999999.87
2026-01-05T09:15:00+00:00,7999999.86
2026-01-05T09:20:00+00:00,7999999.87
2026-01-05T09:25:00+00:00,7999999.79
2026-01-05T09:30:00+00:00,7999999.76
2026-01-05T09:35:00+00:00,7999999.77
2026-01-05T09:40:00+00:00,7999999.65
2026-01-05T09:45:00+00:00,7999999.64
2026-01-05T09:50:00+00:00,7999999.59
2026-01-05T09:55:00+00:00,7999999.58
2026-01-05T10:00:00+00:00,7999999.73
2026-01-05T10:05:00+00:00,7999999.72
2026-01-05T10:10:00+00:00,7999999.73
2026-01-05T10:15:00+00:00,7999999.73
2026-01-05T10:20:00+00:00,7999999.73
2026-01-05T10:25:00+00:00,7999999.73
2026-01-05T10:30:00+00:00,7999999.73
2026-01-05T10:35:00+00:00,7999999.73
2026-01-05T10:40:00+00:00,7999999.73
