ts,strategy,figi,side,qty,price,commission
2026-01-05T08:10:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,76.94,0.00
2026-01-05T10:10:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,77.21,0.00
2026-01-05T10:55:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,76.88,0.00
2026-01-05T12:10:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,76.19,0.00
2026-01-05T14:00:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,77.35,0.00
2026-01-05T14:25:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,77.73,0.00
2026-01-06T07:55:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,79.24,0.00
2026-01-06T08:20:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,79.6,0.0
2026-01-06T11:30:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,79.54,0.00
2026-01-06T12:30:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,79.55,0.00
2026-01-06T14:05:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,80.54,0.00
2026-01-06T14:25:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,80.13,0.00
2026-01-08T08:40:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,76.42,0.00
2026-01-08T08:55:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,76.9,0.0
2026-01-08T12:00:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,76.25,0.00
2026-01-08T12:40:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,76.43,0.00
2026-01-08T13:55:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,75.45,0.00
2026-01-08T14:25:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,75.5,0.0
2026-01-09T09:05:00+00:00,intraday_bollinger_rsi,FUTSILV06260,sell,1,79.06,0.00
2026-01-09T09:50:00+00:00,intraday_bollinger_rsi,FUTSILV06260,buy,1,79.16,0.00
